Registration Number,year,gender,highSchoolTrack,continuousAssessment,finalExam,finalGrade
100394569,2017-2018,female,sciences,7.38,7.37,7.376
100368964,2017-2018,female,sciences,8.96,9.59,9.212
100650689,2017-2018,male,sciences,6.53,6.28,6.43
100472690,2017-2018,male,humanities,2.43,6.59,4.094
100764618,2017-2018,male,social sciences,5.35,5.43,5.382
100476573,2017-2018,male,social sciences,2.97,4.65,3.642
100853640,2017-2018,female,social sciences,3.63,6.39,4.734
100646382,2017-2018,male,sciences,6.91,7.83,7.278
100924556,2017-2018,female,sciences,6.84,7.33,7.036
100783502,2017-2018,male,sciences,8.7,8.87,8.768
100635400,2017-2018,male,social sciences,7.31,5.25,6.486
100554578,2017-2018,male,sciences,7.39,7.34,7.37
100512552,2017-2018,female,social sciences,8.47,6.76,7.786
100920177,2017-2018,female,humanities,3.08,5.01,3.852
100972090,2017-2018,male,humanities,3.85,6.35,4.85
100603927,2017-2018,female,social sciences,6.21,6.07,6.154
100344280,2017-2018,male,social sciences,7.35,8.62,7.858
100586340,2017-2018,male,sciences,5.12,5.98,5.464
100694804,2017-2018,female,social sciences,4.93,5.92,5.326
100506151,2017-2018,male,humanities,3.45,4,3.67
100376888,2017-2018,female,sciences,7.96,7.38,7.728
100360227,2017-2018,female,sciences,6.52,5.27,6.02
100280828,2017-2018,male,sciences,6.27,5.52,5.97
100957336,2017-2018,female,sciences,7.41,8.61,7.89
100737549,2017-2018,male,social sciences,6.01,4.68,5.478
100757003,2017-2018,female,sciences,6.33,8.32,7.126
100446223,2017-2018,female,humanities,4.87,6.1,5.362
100813902,2017-2018,male,social sciences,8,5.22,6.888
100620894,2017-2018,female,sciences,4.73,5.27,4.946
100544535,2017-2018,male,social sciences,10,8.04,9.216
100491568,2017-2018,male,social sciences,6.95,5.83,6.502
100874948,2017-2018,male,social sciences,4.56,1.45,3.316
100389616,2017-2018,female,humanities,4.78,5.68,5.14
100895255,2017-2018,male,social sciences,2.95,4.6,3.61
100398332,2017-2018,female,social sciences,5.38,5.93,5.6
